unicode;windows_1252;character;misinterpreted;UTF_8;nchar_misint
U+017E;0x9E;ž;Å¾;%C5%BE;2
U+0153;0x9C;œ;Å“;%C5%93;2
U+0161;0x9A;š;Å¡;%C5%A1;2
U+02DC;0x98;˜;Ëœ;%CB%9C;2
U+201D;0x94;”;â€;%E2%80%9D;2
U+017D;0x8E;Ž;Å½;%C5%BD;2
U+0152;0x8C;Œ;Å’;%C5%92;2
U+02C6;0x88;ˆ;Ë†;%CB%86;2
U+2020;0x86;†;â€;%E2%80%A0;2
U+0192;0x83;ƒ;Æ’;%C6%92;2
U+00E0;0xE0;à;Ã;%C3%A0;1
U+00DD;0xDD;Ý;Ã;%C3%9D;1
U+00D0;0xD0;Ð;Ã;%C3%90;1
U+00CF;0xCF;Ï;Ã;%C3%8F;1
U+00CD;0xCD;Í;Ã;%C3%8D;1
U+00C1;0xC1;Á;Ã;%C3%81;1
U+00AD;0xAD;space;Â­;%C2%AD;1
U+0160;0x8A;Š;Å;%C5%A0;1
